id,station_No,station_Name,station_English,line_Name,line_English,latitude,longitade
323,R03,国際展示場駅,Kokusai-tenjijo,りんかい線,Rinkai,35.6345125,139.7894406
324,R04,東京テレポート駅,Tokyo Teleport,りんかい線,Rinkai,35.6275325,139.7766205
325,R05,天王洲アイル駅,Tennozu Isle,りんかい線,Rinkai,35.6204286,139.748658
326,R06,品川シーサイド駅,Shinagawa Seaside,りんかい線,Rinkai,35.6094491,139.7475038
327,R07,大井町駅,Oimachi,りんかい線,Rinkai,35.6062184,139.7327366
328,R08,大崎駅,Osaki,りんかい線,Rinkai,35.620023,139.725994
329,U01,新橋駅,Shimbashi,ゆりかもめ,Yurikamome,35.6661933,139.7561379
330,U02,汐留駅,Shiodome,ゆりかもめ,Yurikamome,35.6628989,139.7577759
331,U03,竹芝駅,Takeshiba,ゆりかもめ,Yurikamome,35.654131,139.760046
332,U04,日の出駅,Hinode,ゆりかもめ,Yurikamome,35.649187,139.756935
333,U05,芝浦ふ頭駅,Shibaura-Futo,ゆりかもめ,Yurikamome,35.642244,139.75563
334,U06,お台場海浜公園駅,Odaiba-kaihinkoen,ゆりかもめ,Yurikamome,35.629884,139.776656
335,U07,台場駅,Daiba,ゆりかもめ,Yurikamome,35.6259224,139.7692203
336,U08,船の科学館駅,Fune-no-Kagakukan,ゆりかもめ,Yurikamome,35.6213286,139.7708838
337,U09,テレコムセンター駅,Telecom Center,ゆりかもめ,Yurikamome,35.617552,139.77724
338,U10,青海駅,Aomi,ゆりかもめ,Yurikamome,35.624718,139.77899
339,U11,国際展示場正門駅,Kokusai-Tenjijo-Seimon,ゆりかもめ,Yurikamome,35.630246,139.789294
340,U12,有明駅,Ariake,ゆりかもめ,Yurikamome,35.634505,139.7911916
341,U13,有明テニスの森駅,Ariake-Tennis-no-mori,ゆりかもめ,Yurikamome,35.6400268,139.786678
342,U14,市場前駅,Shijo-mae,ゆりかもめ,Yurikamome,35.645522,139.783433
343,U15,新豊洲駅,Shin-Toyosu,ゆりかもめ,Yurikamome,35.6487106,139.7879061
344,U16,豊洲駅,Toyosu,ゆりかもめ,Yurikamome,35.6537343,139.7931547
